Compound Name,Compound Class,Chromatography - ion mode,Compound Name Leg,Formula,Mass,RT,CAS ID,blank-1,blank-2,blank-3,P H-433,P H-457,P H-458,P H-459,P H-460,P H-461,P H-462,P H-463,P H-464,P H-466,P H-467,P H-468,P H-469 -1,P H-469 -2 ,P H-470,P H-471,P H-472,P H-473,P H-474,P H-475,P H-476,P H-477,P H-478,P H-479,P H-480,P H-481,P H-482,P H-483,P H-484,P H-485,P H-486,P H-487,P H-488,P H-489,P H-490,P H-491,P H-492,P H-495,P H-496,P H-497,P H-498,P H-499,P H-501,P H-502,P H-504,P H-505,P H-506,P H-507,P H-509,P H-510,P H-511,P H-512,P H-513,P H-514,P H-515,P H-516,QC-P pool-1,QC-P pool-2,QC-P pool-3,QC-P pool-4,QC-P pool-5,QC-P pool-6
Cer_NS d18:2_16:0@16.794,Ceramide non-hydroxyfatty acid-sphingosine,HSSneg,HSSneg_Cer_NS d18:2_16:0@16.794,C34H65NO3,535.496445,16.74,,3579,2472,2535,68374,65549,61692,97078,52750,123486,100931,102544,70498,626204,55611,72375,194827,49265,83494,110670,299743,71989,209161,58616,254835,233257,113172,100782,415292,175207,87579,138990,57039,91384,288342,252931,115782,311563,76973,3905,237059,73758,116033,195411,73115,113357,68763,206502,167559,404090,132536,25281,194436,101028,72893,28425,130360,124234,112588,99824,323082,284370,241692,229191,139592,151293
EtherPC 16:0e_20:4@18.138,Ether-linked phosphatidylcholine,HSSneg,HSSneg_EtherPC 16:0e_20:4@18.138,C44H82NO7P,767.582891,17.98,,13915,22036,11533,1143582,1142403,1159449,1813869,919213,1855262,2510767,1753997,1095449,1494761,1353382,1794515,1231117,1484328,1410190,1952917,1966124,1707543,1990562,1571301,1686811,2823704,1301814,2966798,2379371,2698345,1620212,1518340,1599162,1684830,2603673,1851860,1497112,1729830,1451715,2499820,1592284,1304444,1505174,1986575,1058139,2033622,1352646,1096406,1226140,1219739,1615376,1371969,1723823,2219219,2378489,1262205,1087359,1295420,2263268,886944,2175050,1982723,1891865,1551797,1400400,1328604
EtherPC 18:1e_20:4@18.18,Ether-linked phosphatidylcholine,HSSneg,HSSneg_EtherPC 18:1e_20:4@18.18,C46H84NO7P,793.598541,18.11,,13884,11582,11477,1077417,946107,1174948,1672383,938711,1807236,2586732,1632649,1166383,1296501,1152870,1759044,1020526,1356592,1231076,1626262,1836435,1663079,1776857,1433779,1697056,2939443,1454408,2655703,2410946,2231006,1356532,1327477,1530076,1756697,2563385,1408661,1301467,1531835,1520734,2426656,1435332,1360319,1355509,2164117,977011,1759504,1087869,1015478,1230412,1093112,1549148,1382070,1660794,2063986,2073790,1177771,880619,1028616,2129919,758731,1893850,1866533,1612334,1476451,1341081,1126825
EtherPE 16:0e_22:6@17.304,Ether-linked phosphatidylethanolamine,HSSneg,HSSneg_EtherPE 16:0e_22:6@17.304,C43H76NO7P,749.535941,17.23,,2342,3010,217,329399,292287,245174,511348,171954,695033,508251,437393,387660,819615,334573,427379,536444,162500,348169,981332,964834,437068,635871,217429,420257,600562,510644,826821,917430,758501,316589,553618,277753,576506,637258,424300,303582,817485,355373,9997,503468,468133,669837,802482,186406,684364,414743,275537,571379,162113,646630,92380,540903,573153,543745,108486,474522,544716,633529,263565,1021646,987085,821208,697773,548859,460560
EtherPE 16:1e_18:1@18.599,Ether-linked phosphatidylethanolamine,HSSneg,HSSneg_EtherPE 16:1e_18:1@18.599,C39H76NO7P,701.535941,18.57,,17537,27483,27274,168031,169398,188979,183006,107958,150192,201691,150225,112904,302959,138457,97667,174179,113717,279213,328281,307681,143677,198215,128135,157030,217840,132596,335021,329259,362340,177865,238284,147630,221401,221488,162269,153811,277307,138259,206580,254393,153104,232390,279644,140893,180128,144273,179433,157945,102937,218219,83176,259604,252736,206070,71514,170936,201319,321151,101908,523069,474564,389059,313964,217959,221239
EtherPE 16:1e_20:4@17.455,Ether-linked phosphatidylethanolamine,HSSneg,HSSneg_EtherPE 16:1e_20:4@17.455,C41H74NO7P,723.520291,17.39,,2591,1411,3156,512704,399404,552104,618433,281910,633406,544198,500699,370812,1095856,406679,377210,417022,220069,493016,874725,995792,432039,804184,358900,432129,656664,430739,870793,1417766,1206708,485266,568807,391017,697724,834695,983984,466498,879767,388530,99223,745157,445013,619080,820031,533806,653753,476107,599955,577236,400667,687019,147969,615363,788637,584996,131179,451177,698665,809432,241304,1338986,1283537,993604,836086,655286,588115
EtherPE 16:1e_22:6@17.098,Ether-linked phosphatidylethanolamine,HSSneg,HSSneg_EtherPE 16:1e_22:6@17.098,C43H74NO7P,747.520291,17.04,,4162,8683,1561,940791,1074906,1361234,1765943,552644,1753140,1682469,1542459,929056,2474006,1190277,904297,1507600,545198,1379495,2688426,3141528,1476035,2440222,963117,1383317,1791119,1391740,2919218,3452335,2867864,1286164,1886214,955198,2230287,2349884,1271305,972301,3046314,1092687,215989,2373216,1519660,2212074,3284635,1103724,2237511,1009451,1686227,1411897,797036,2296908,365848,2188160,1758064,1688071,396306,1318833,1406585,2194874,883338,3600777,3483935,2866435,2510046,1896763,1718756
EtherPE 18:1e_20:4@18.654,Ether-linked phosphatidylethanolamine,HSSneg,HSSneg_EtherPE 18:1e_20:4@18.654,C43H78NO7P,751.551591,18.61,,3143,5771,2680,237307,126531,170639,166779,78732,177027,89887,107517,85778,360289,120525,60016,75044,55114,224608,259642,251327,85286,203545,68357,100723,142657,73873,300491,332381,532130,120512,180762,88034,162991,194725,346683,128827,180005,93039,155884,200280,103578,156373,157890,120107,155092,144907,175333,162057,87583,138090,51967,147788,261145,130249,41739,115774,220219,266379,44691,487291,465906,366967,272511,232867,206909
EtherPE 18:1e_22:6@18.308,Ether-linked phosphatidylethanolamine,HSSneg,HSSneg_EtherPE 18:1e_22:6@18.308,C45H78NO7P,775.551591,18.27,,1249,1924,1926,221309,157120,199334,210588,56832,291652,170314,172197,99757,366966,136516,91445,98163,41533,271688,394094,405324,170537,314591,94565,125765,182277,123708,450510,301354,500463,141845,280947,97486,261746,267086,272259,116345,329336,112286,5639,277640,141419,278254,352669,158631,268496,146067,201932,234137,68622,200934,37431,255956,321182,183640,38141,123100,233819,364343,71626,658195,623446,482377,419446,301530,238456
EtherPE 18:2e_20:4@17.548,Ether-linked phosphatidylethanolamine,HSSneg,HSSneg_EtherPE 18:2e_20:4@17.548,C43H76NO7P,749.535941,17.49,,4325,4144,1238,354539,343561,412970,482494,219782,482407,508799,370713,316380,934307,353887,278078,383988,175906,416817,697046,983084,393791,678543,268988,471462,614943,396356,728398,1358366,912680,412615,540680,306147,579920,788802,618817,321123,865677,359450,628999,728528,341705,572548,837704,415655,507259,338736,520351,402287,308193,639246,112927,570301,575116,394826,100881,363105,502213,691487,185710,1154226,1104711,746245,699185,473042,449517
EtherPE 18:2e_22:6@17.228,Ether-linked phosphatidylethanolamine,HSSneg,HSSneg_EtherPE 18:2e_22:6@17.228,C45H76NO7P,773.535941,17.15,,6029,3872,4422,445556,410977,487259,576543,211979,730416,679886,625328,385182,847352,454914,473616,497782,226928,465512,916785,1015440,479518,1023123,346479,541385,671860,528581,1100942,1245364,1117298,470629,641574,368390,726151,943959,552347,370766,1016504,395770,47174,908394,497720,746031,1078992,431019,772012,425574,584615,546640,334108,810689,139563,778341,790590,583330,133712,354464,565928,829323,314125,1263807,1187656,1037839,800709,711690,634185
FA 16:0@10.445,Free fatty acid,HSSneg,HSSneg_FA 16:0@10.445,C16H32O2,256.24023,10.33,,8011,12853,27716,2014214,2773661,2543022,3236357,4332953,3292411,7293094,3022986,4217289,4770813,2394346,3673855,4965915,3144250,2201480,2186134,5000122,2922261,4238186,3863958,5347583,5624828,4140876,3412920,8067546,2984410,3126449,2806568,3164407,3252996,6394331,3440055,3174621,4296060,3439967,9476,3788258,3250604,3346682,6017355,2924716,3761544,2609716,2637216,2965435,3991187,4027961,3141633,3838906,3086802,2851852,3352952,2786573,1899043,4175657,3512004,4269610,4675560,3491190,3658302,3215827,2934491
FA 16:1@8.372,Free fatty acid,HSSneg,HSSneg_FA 16:1@8.372,C16H30O2,254.22458,8.36,,2461,1983,2138,22949,22160,23635,12138,107682,62152,148954,40450,71220,52183,23211,87195,345306,59103,24573,15885,100159,71488,209969,78465,106857,149753,89791,18329,125402,32211,41469,20730,34992,13742,264122,55512,40078,32450,53313,210877,71081,59713,41950,239204,61306,83516,18457,81890,34430,137481,82505,56890,119866,19700,16660,121285,49719,19640,71671,123439,81518,70271,74060,44755,37536,51296
FA 18:0@12.897,Free fatty acid,HSSneg,HSSneg_FA 18:0@12.897,C18H36O2,284.271531,12.82,,21471,5685,10065,1127294,1733889,1315729,1492826,2142036,1774663,4247443,1292437,2663365,2772471,1134923,1563343,3294539,2232725,1180822,1413808,2844251,1340584,3057791,2471894,3323477,3981270,2277495,1999594,4277703,2294253,2261285,1418171,2006694,1603835,3821554,1727155,1429945,2258329,1612943,2895,2200176,1559108,1790155,3204828,1382631,1910636,1345276,1200226,1499687,2479706,2538776,2309473,2654442,1813108,1852148,1897117,1132976,1059127,2451327,1891274,2614555,2596604,2257224,1752792,1663437,1557332
FA 18:0@10.412,Free fatty acid,HSSneg,HSSneg_FA 18:0@10.412,C18H36O2,284.271531,10.31,,9873,4139,7963,12450,9660,2723,2149,12801,23099,5270,16515,18511,13497,12296,5401,9273,1637,2989,16703,18132,5290,30321,6685,21585,6376,17264,15852,28864,15644,18101,9591,7653,5091,4609,9393,38717,4688,14180,567,12590,16352,19268,10050,6336,5911,17481,8926,8477,7922,4603,5331,27679,2491,8217,33488,3205,9469,9628,17804,76390,97825,104187,91659,103547,76132
FA 18:1@10.856,Free fatty acid,HSSneg,HSSneg_FA 18:1@10.856,C18H34O2,282.25588,10.75,,1182,6151,6065,3004759,4779552,5595644,5510487,11282830,7439340,22012594,7998515,11646689,8641062,5110367,10610955,18594460,6413068,4302815,3075360,12813816,8291765,12358691,11267709,13454433,15667146,12006168,6691457,20963948,6576868,6707628,5722857,6532204,5596722,21149422,7240738,5824413,8860383,7984462,5094,9302678,7895450,6665705,18617578,7802032,10348246,5017485,7451678,7426291,12293468,10556076,6756205,12008540,5861516,4645185,8605256,7622859,3087300,9981937,12569082,10085889,10072888,8130297,7906208,6914185,6372786
FA 18:2@8.998,Free fatty acid,HSSneg,HSSneg_FA 18:2@8.998,C18H32O2,280.24023,8.88,,2903,9278,4847,4871491,5676934,8244290,4617868,15318270,5919389,19177832,4998290,9835147,11258004,4972325,7084745,21860528,8208165,8082782,5455544,11975718,8476754,15083977,15269061,9642791,16829666,13354010,7385160,16063009,9316875,10167051,4587274,5849468,5738055,16776542,10888486,8248010,6471146,10125426,104400,10019141,8399013,5456094,13912078,9581801,9198936,7089642,7935909,5866890,14503477,11340880,10593675,12768065,6913187,4741821,10942951,8223832,6225133,10508009,11167533,10100734,10991237,8622131,8416003,7107572,6535256
FA 18:3@7.389,Free fatty acid,HSSneg,HSSneg_FA 18:3@7.389,C18H30O2,278.22458,7.27,,83,1645,1145,255155,345915,660774,195174,1548826,457389,2332325,344472,945938,538636,376760,667445,2732979,769623,689784,251885,1305757,886906,1693992,2040265,647780,1693970,1572002,509980,1009881,956449,1029466,299218,391335,243924,1881619,1196517,466250,386912,1296578,578446,972104,875702,333157,1762991,1132911,1269570,635301,666807,480378,1542099,757584,1053632,1048105,408024,188194,1366446,1060836,371203,971169,1784442,953005,961489,790137,684093,644442,620682
FA 20:1@13.132,Free fatty acid,HSSneg,HSSneg_FA 20:1@13.132,C20H38O2,310.287181,13.02,,1134,1197,903,37071,60087,43005,58413,142241,73618,312192,76518,157303,92502,59568,98455,355733,101666,50403,45788,189511,92171,189755,152113,172036,200436,165219,91551,265996,89059,83863,54733,104749,63953,292206,47705,80127,96213,93375,2627,128822,94491,78913,249637,75966,141981,72038,95306,78789,190452,149656,104643,162355,72715,48825,96091,86009,38270,125009,197733,137281,126707,105429,96560,81550,78107
FA 20:2@11.38,Free fatty acid,HSSneg,HSSneg_FA 20:2@11.38,C20H36O2,308.271531,11.27,,2392,2201,1954,55264,64508,74078,52626,164339,71552,309277,36415,93486,144484,54891,93650,315494,116031,83250,65433,153180,82954,258001,217380,155274,243531,148098,97601,289817,100008,122793,53787,65847,65648,322659,59753,90556,62146,93517,3640,118340,82078,64779,221501,92038,152352,79037,99963,51697,212641,166396,125173,135176,62317,46364,194391,109215,48606,125406,188263,124554,118079,106670,96719,91685,79366
FA 20:3@10.401,Free fatty acid,HSSneg,HSSneg_FA 20:3@10.401,C20H34O2,306.25588,10.27,,3162,4933,4915,184474,240220,398000,190525,444206,290463,1116982,157226,351372,450973,210817,428613,623794,616225,156229,374425,503639,227511,653661,534730,619592,930109,527964,311922,1104607,284525,565007,176880,252687,283349,1123003,594338,227454,324235,270872,51138,331377,303318,199365,828209,323116,345867,237353,327301,206458,654503,628044,576013,264867,325981,196718,447527,280618,197739,495681,407876,452605,406790,390390,336707,303110,286569
FA 20:3@9.779,Free fatty acid,HSSneg,HSSneg_FA 20:3@9.779,C20H34O2,306.25588,9.88,,1313,2684,750,21968,31553,20351,27489,53944,34847,108117,17441,39293,57909,17462,31130,52806,50490,13383,31756,52707,26189,50329,27493,61916,104389,41938,32261,136867,28961,47027,23383,22724,39587,137078,40369,20367,43299,16031,37756,44978,26964,11514,74073,29144,38036,27616,36403,30323,40902,74244,61268,29377,27756,25095,31465,27660,24335,54243,27390,55970,65042,43882,41647,17165,26125
FA 20:4@8.652,Free fatty acid,HSSneg,HSSneg_FA 20:4@8.652,C20H32O2,304.24023,8.53,,4961,9137,9411,3422159,2617984,3506298,2895761,4235287,3268627,13963935,1886120,3765500,12478701,2214044,3740744,7852911,7266974,2077494,3304912,3928794,3117126,8189438,6593092,13350729,12238403,5106122,2627650,19012976,3921029,6025325,2109700,3337503,3871582,15251078,5420877,2390365,3599100,4289863,1663053,4956538,3689219,2697537,10128161,3476154,5308666,2326617,3486212,2441722,10575636,6573162,6242471,3331498,3416138,3338930,6737901,3577581,1913998,5508351,4229416,5561146,5164912,4740585,4026772,3481430,3310598
FA 22:5@9.027,Free fatty acid,HSSneg,HSSneg_FA 22:5@9.027,C22H34O2,330.25588,8.89,,804,432,2278,1428688,1373246,2167848,935722,3739648,1500904,6296175,719780,1948073,2816055,1345630,1447714,6597699,3959648,1747607,2116912,2862805,1645633,3540091,4816108,3251052,6318197,3247168,885483,5514272,2418612,3613174,1267207,1167924,1231879,7960191,3141879,1170159,2118402,2149908,1995,2334060,1981393,1436900,5608586,2557212,2371648,1621757,2173805,1035517,4741808,3082217,3732544,1658158,979551,822686,3370087,3290403,1454307,3498329,3974890,3093655,2821191,2480931,2168045,1805396,1664265
FAHFA 18:1_18:0@10.854,Fatty acid ester of hydroxyl fatty acid,HSSneg,HSSneg_FAHFA 18:1_18:0@10.854,C36H68O4,564.511761,10.75,,1914,2958,4485,265970,543347,566760,593154,1386561,988277,3077464,958018,1565751,1016091,522168,1468396,3052120,805163,432571,262923,1768836,922510,1813488,1444194,1861798,2528185,1498609,821738,2881190,797105,785842,673993,753650,532100,3133413,863964,588118,1093175,877867,7042,1228596,931177,808758,2725962,916479,1398806,544182,953868,847424,1651835,1509583,808911,1873254,581503,524810,1191696,995638,256709,1253556,1765067,1361317,1169875,1069859,905642,823666,780909
FAHFA 18:2_18:1@8.998,Fatty acid ester of hydroxyl fatty acid,HSSneg,HSSneg_FAHFA 18:2_18:1@8.998,C36H64O4,560.480461,8.89,,2620,2855,3203,310551,368488,595687,266988,1304533,396132,1688615,310351,746616,865433,288128,469156,1932631,622398,578808,350149,897900,605230,1354997,1320864,683420,1446500,1099162,501717,1263411,720968,859071,269277,377807,370197,1262065,858437,602518,382979,763813,999,772815,611113,340225,1027225,738022,681475,506428,567011,390781,1231532,812611,828538,1126994,466678,327219,857825,568809,408238,770621,857865,892340,853490,672599,603989,484112,444313
FAHFA 22:6_22:5@8.164,Fatty acid ester of hydroxyl fatty acid,HSSneg,HSSneg_FAHFA 22:6_22:5@8.164,C44H64O4,656.480461,8.03,,1440,2691,207,201656,132888,190613,99962,402905,168460,1206709,54064,156483,408686,132911,148010,852759,651235,92354,284980,277274,160966,549809,632680,604928,1202280,326480,76086,1066636,157159,510756,113899,113176,180903,1424031,431513,76727,237533,229370,2496,368688,214289,117181,1113346,252432,375557,193014,242502,88645,798951,520168,540373,222342,136774,89062,579119,328672,72170,399194,381837,363956,333022,271505,248270,199697,197192
LPA 16:0@4.862,Lysophosphatidic acid,HSSneg,HSSneg_LPA 16:0@4.862,C19H39O7P,410.243341,4.76,,739,1910,1803,57069,94699,192150,135780,211103,474405,961699,169205,181381,1128613,112014,723111,320131,214368,100436,177409,751216,134912,922771,296696,941667,1673788,640508,439189,1809073,216832,152346,239185,306389,135502,536240,178824,102456,294708,165447,110178,1077083,217461,207903,671036,106353,470012,184275,390831,149882,411555,804099,189084,437963,198890,240059,405227,218371,125639,155011,358035,476422,464059,402802,336158,290792,294667
LPA 18:0@7.127,Lysophosphatidic acid,HSSneg,HSSneg_LPA 18:0@7.127,C21H43O7P,438.274641,7.02,,1700,7138,1620,27168,32848,65494,32574,78426,84973,254901,45605,59908,226312,26957,150844,109067,76867,43598,63864,154235,43265,240746,106888,210213,318303,196374,108238,350599,81876,51544,59279,75159,38182,120135,77869,52741,60375,65864,33128,274190,64404,44248,127776,38021,130306,54389,109214,58091,167793,206830,52231,184813,63809,59528,120159,66583,45124,42876,112867,126074,134920,98201,94909,86031,77141
LPA 18:1@5.28,Lysophosphatidic acid,HSSneg,HSSneg_LPA 18:1@5.28,C21H41O7P,436.258991,5.16,,928,3071,4414,45695,40052,104602,104537,109255,285253,666572,69345,112511,623972,54406,417387,213990,106580,53006,84883,327327,98727,421950,165634,556430,1125684,329904,228995,1129059,117978,60741,126873,190532,98293,438846,42464,65585,176714,116549,47968,518361,151235,103984,499756,75500,321134,87934,264063,82940,223185,538454,102720,194781,144078,176118,193002,129748,62323,70288,247347,291952,293883,232912,193210,192536,139708
LPA 18:2@3.967,Lysophosphatidic acid,HSSneg,HSSneg_LPA 18:2@3.967,C21H39O7P,434.243341,3.88,,3414,1212,4671,186543,280518,735169,713275,701070,2090222,4735755,549661,754660,5034635,349995,3281386,1861636,743505,427243,738613,3065597,566883,4273133,1282471,4539449,8107727,3311630,1969558,8400243,856007,461689,1057294,1500903,616067,2795091,259821,433464,1119085,752809,374257,4108798,818826,776099,3173921,429943,2241570,703096,1733476,507434,1737223,4158021,889767,1825453,829569,1229546,2418396,817789,445029,509230,1996026,2132115,2132685,1694381,1497952,1365883,1257755
LPA 20:4@3.829,Lysophosphatidic acid,HSSneg,HSSneg_LPA 20:4@3.829,C23H39O7P,458.243341,3.76,,1884,1660,5271,61154,91379,294348,192496,285297,487445,1670813,210561,246091,1842393,112309,894505,531123,521244,121041,278272,802987,256308,1823208,532053,1772923,2319978,945939,454607,3291049,297125,211550,259676,372819,169743,1130597,219358,184386,347889,383578,132150,1302071,371606,233577,1102273,187255,805336,209690,599007,251993,791514,1359619,327918,560783,422701,407821,930528,238607,162155,196602,611531,681238,713820,619905,515583,441361,434357
LPA 20:5@3.04,Lysophosphatidic acid,HSSneg,HSSneg_LPA 20:5@3.04,C23H37O7P,456.227691,2.99,,1734,2228,3249,21877,34884,45861,66829,57155,245110,629124,49622,82173,412876,58305,266508,142027,72253,14103,56942,294537,65314,279443,89797,555546,989863,242956,109218,1019931,73332,41834,101031,109026,59427,456110,27377,35645,110503,75817,54028,436745,78962,111750,565354,40594,378255,41792,150307,51366,202192,385096,68724,113838,64658,87380,182543,62883,28351,64873,209653,204428,221502,199363,158233,151728,128615
LPA 22:6@3.617,Lysophosphatidic acid,HSSneg,HSSneg_LPA 22:6@3.617,C25H39O7P,482.243341,3.53,,5426,4539,1749,78772,102185,234492,118365,266796,300538,1072709,166312,217004,725738,123650,618914,543961,245903,105024,211457,530371,205083,1106204,341208,789864,1481696,572893,405159,1389504,206583,192342,144771,277101,141788,617315,241645,158640,253013,187939,110799,876978,232597,160861,651524,153108,410190,213299,376723,162866,506619,766218,262587,444753,252617,195325,444818,219463,157945,164457,493330,421226,434844,362628,326685,296894,250126
LPC 14:0/0:0@3.497,Lysophophatidylcholine,HSSneg,HSSneg_LPC 14:0/0:0@3.497,C22H46NO7P,467.30119,3.44,,3343,5393,673,263967,423741,356477,582117,776535,636370,1347865,373122,858104,633437,498958,462961,842694,543733,345896,393682,1231453,589834,715198,667283,1060889,1087380,703762,666804,1398300,721865,650609,588069,732745,386702,1066405,179746,367049,1140511,632770,901525,627300,647339,595596,1166104,583650,686890,441465,605517,402451,701737,925081,848889,412042,473612,466157,391832,361832,294146,807772,397246,783581,739447,651799,524422,488116,436594
LPC 15:0/0:0@4.288,Lysophophatidylcholine,HSSneg,HSSneg_LPC 15:0/0:0@4.288,C23H48NO7P,481.31684,4.21,,1374,1033,5049,319607,590242,924700,607044,1042982,501313,1074188,558993,741951,505035,522732,678580,1102423,662978,909103,723844,991902,645471,998751,851846,740586,811888,703331,1176467,930241,922920,944207,519841,769041,492641,853515,415692,865637,971561,597530,1162896,701356,716837,479267,718656,699881,542338,499402,679525,673345,646182,747485,1029533,819300,801862,680441,713092,578629,669400,903954,563011,956643,851891,676059,617273,563349,536095
LPC 16:0/0:0@5.301,Lysophophatidylcholine,HSSneg,HSSneg_LPC 16:0/0:0@5.301,C24H50NO7P,495.33249,5.19,,6897,6659,6380,36781048,72697960,71877376,102733272,137480112,94569392,181100960,100538656,152617904,116944792,82256416,100915608,157054720,123687128,65526020,90750000,181945792,100006040,138609952,118878040,142436384,158391840,127753616,137392640,220883568,136841936,122294360,93326736,114275832,86805160,175330976,103742832,108055816,195161376,110367656,145079008,120484824,109507752,93792872,155506672,90127128,95618112,82602656,82029472,94176616,126566280,168469056,134080776,127116880,101541576,113751224,73878736,74355512,72132040,115261168,79704336,138100016,134788320,124231008,96216296,82907608,74948552
LPC 16:0/0:0@4.873,Lysophophatidylcholine,HSSneg,HSSneg_LPC 16:0/0:0@4.873,C24H50NO7P,495.33249,4.78,,7195,5607,4027,6307215,13422054,12672230,19243428,24975002,18081292,33745844,18523328,28821100,21784678,15102386,19102190,29221186,22329864,11702792,16290008,34567132,17987028,25163024,22027118,28612192,29232696,24146242,25213560,44554500,25432886,22167136,17657338,20575822,15478331,33222044,18156120,18282392,38523208,20690760,26781762,21793352,20055414,17670660,29820924,16186965,18055226,15326318,15092010,17394658,23409110,31257622,25023060,22571172,18020694,20515044,13383743,13928253,12010528,20915392,14586716,24899582,24560344,22816922,17542792,15228240,13764402
LPC 16:1/0:0@3.848,Lysophophatidylcholine,HSSneg,HSSneg_LPC 16:1/0:0@3.848,C24H48NO7P,493.31684,3.77,,3083,4333,7728,663908,1115022,1447760,2269325,2721558,2570186,3666541,2189406,3747074,1709123,2037799,2355860,3822421,2394691,1125459,1495624,4279171,2821252,2157920,1786289,3478950,4609153,2221732,3013523,4374872,2062662,2151031,2445598,2920088,1702182,5053158,847935,1899751,5274875,2355840,2362294,3106724,2666890,2038848,5478579,2271869,2642387,1097392,3081615,1628336,2658511,3962877,2518980,1938501,1955797,1584268,1540681,1812468,964095,2535167,1841837,2903632,2899542,2397831,1950288,1790300,1703387
LPC 16:1/0:0@3.564,Lysophophatidylcholine,HSSneg,HSSneg_LPC 16:1/0:0@3.564,C24H48NO7P,493.31684,3.48,,1270,2354,3523,94575,147632,215946,380897,399772,409625,540286,346635,605801,266113,303394,377269,614053,346443,157140,235433,648994,433836,324919,253696,578730,728553,335623,446086,685767,308395,335917,403257,431305,254691,759088,122351,272152,792234,346844,344841,460446,404330,324473,842164,349884,397077,184580,462887,254431,393875,615842,371004,300295,290191,245732,261054,271291,140671,386079,295585,458872,439252,363761,303027,283790,254053
LPC 17:0/0:0@6.21,Lysophophatidylcholine,HSSneg,HSSneg_LPC 17:0/0:0@6.21,C25H52NO7P,509.34814,6.11,,984,3824,7900,1249743,2039360,3243621,2510518,4618701,2901439,6653968,3227350,3912055,3814197,2361234,3411816,7468600,3761230,2724248,3665456,5029015,3567300,6262816,5408850,5215819,5523396,4005361,5105367,6158343,6601097,4608128,2179839,3625409,3134341,6163486,1985650,3288027,4592416,4200073,5692749,3351672,3369704,2698535,4384162,4018880,3042533,3064892,3338886,2173031,3881190,5108896,6997702,5179559,3515251,3513758,3676477,2601308,2681500,4252868,2766468,4604307,4522310,3996622,3189230,2680683,2464280
LPC 17:0/0:0@6.496,Lysophophatidylcholine,HSSneg,HSSneg_LPC 17:0/0:0@6.496,C25H52NO7P,509.34814,6.38,,2680,5382,4553,1060994,1607918,2771121,1964121,3383066,1941027,4553589,2118583,2958937,2465770,1652103,2473167,4336714,3310134,2418408,2725588,3448594,2338649,4842297,3545557,3242049,3330230,3041167,3619666,3999599,4646275,3320525,1466770,2661129,1946181,3794918,2366960,3389238,3371381,2634405,3585089,2588565,2404249,1770954,2919086,2643593,2209849,2047355,2245035,1972903,3178353,3478496,4203776,3531872,2441894,2728964,2586019,1886586,2283617,3027867,2142124,3127789,3115204,3118491,2277477,2025918,1888769
LPC 17:0/0:0@5.699,Lysophophatidylcholine,HSSneg,HSSneg_LPC 17:0/0:0@5.699,C25H52NO7P,509.34814,5.61,,1488,4492,4968,194920,273159,447603,332298,641318,365926,828588,428393,467844,526326,329411,449980,948019,508534,404850,508693,630846,439080,853214,716205,591748,665460,537398,679722,741227,862349,621657,272647,474310,430727,757716,273381,436217,551559,546765,777028,429132,459573,345697,514713,544542,390737,413955,449513,274899,514938,645284,925727,698618,482464,481921,509675,370429,379489,569246,375929,605196,577844,543262,430733,351616,337657
LPC 17:1/0:0@4.746,Lysophophatidylcholine,HSSneg,HSSneg_LPC 17:1/0:0@4.746,C25H50NO7P,507.33249,4.63,,3971,2430,988,118219,195667,296698,341074,367172,381002,625654,310943,502391,276993,208792,437064,552707,279781,235574,241565,539093,387194,345855,289050,546772,594798,329064,402575,611307,483464,305400,316134,401065,268467,620249,120212,294362,554701,329997,520786,421381,316704,268975,571485,343702,362461,214108,354627,321246,346052,453659,377986,321919,290161,279041,337825,261489,179764,416214,315151,425845,425670,337177,319091,288325,285968
LPC 18:0/0:0@7.753,Lysophophatidylcholine,HSSneg,HSSneg_LPC 18:0/0:0@7.753,C26H54NO7P,523.36379,7.63,,4952,553,745,23354286,40460640,43743596,38283692,72700584,35025052,83506752,41165792,63274328,40557552,33067528,43586852,96586120,75128256,40436256,43455032,65797364,44765156,72318936,56553960,63682484,68677488,60503568,56123912,64494800,68547608,54639152,39559020,53350292,32516806,79372168,65022028,66151360,58885776,44113312,57696756,57206956,41357288,32169702,66008076,43102536,45029120,38775612,46143416,42464820,67504600,80540640,65867084,80939896,49088140,46662184,47804116,37167492,49227408,49711784,52814512,61938648,58126324,54395460,46092088,42151048,38646184
LPC 18:0/0:0@7.219,Lysophophatidylcholine,HSSneg,HSSneg_LPC 18:0/0:0@7.219,C26H54NO7P,523.36379,7.09,,2907,3556,4337,4018333,7094051,7816143,7151119,14031057,6205055,15938718,7223645,12463164,7274257,5904832,7880390,19869890,13820634,7153111,7929287,12016964,8115286,13151442,10522804,12463253,13322436,11196298,10353392,12677666,12629246,9863199,7477850,9597023,5720530,15524731,11117755,11852626,10801890,8029395,10059242,10298514,7374125,5730051,11748791,8018025,8558164,6922459,8596545,7339028,12325195,15713923,11925487,16032900,9013642,8421650,9382496,6571125,8378396,8858514,9906411,11298127,10839733,9480669,7993404,7639798,6849850
