Compound Name,Compound Class,Chromatography - ion mode,Compound Name Leg,Formula,Mass,RT,CAS ID,blank-1,blank-2,blank-3,P H-433,P H-457,P H-458,P H-459,P H-460,P H-461,P H-462,P H-463,P H-464,P H-466,P H-467,P H-468,P H-469 -1,P H-469 -2 ,P H-470,P H-471,P H-472,P H-473,P H-474,P H-475,P H-476,P H-477,P H-478,P H-479,P H-480,P H-481,P H-482,P H-483,P H-484,P H-485,P H-486,P H-487,P H-488,P H-489,P H-490,P H-491,P H-492,P H-495,P H-496,P H-497,P H-498,P H-499,P H-501,P H-502,P H-504,P H-505,P H-506,P H-507,P H-509,P H-510,P H-511,P H-512,P H-513,P H-514,P H-515,P H-516,QC-P pool-1,QC-P pool-2,QC-P pool-3,QC-P pool-4,QC-P pool-5,QC-P pool-6
cis-Aconitic acid,TCA,pHILICneg,pHILICneg_cis-Aconitic acid,C6H6O6,174.016438,8.64,,2550,3961,2814,107709,354189,465825,264971,368624,362531,112662,344657,300757,134032,143179,108283,65711,311544,440188,335765,295569,253744,116347,294027,140160,101815,83714,224817,120129,425474,305049,329761,346685,270033,71734,228346,250462,336873,322248,511726,176234,308559,289598,90112,477358,74327,243105,144049,373786,133993,100629,266491,47911,387299,336641,67504,54842,245631,355738,70669,193113,289413,237504,227649,238644,248633
Citric Acid,TCA,pHILICneg,pHILICneg_Citric Acid,C6H8O7,192.027003,8.99,,1020575,749852,677683,2249408,3459365,4136971,3389032,3638249,3744283,3172008,3974462,3619188,2516669,2740303,2667571,1860231,3589274,4039139,3826303,3881378,3222314,3260645,4048580,3236569,2572300,2812597,3594470,3150558,4391124,3606677,3798607,3681039,3416239,2605360,3102776,3371695,3968690,4377452,4063361,3434324,3677295,3595634,2362432,4166120,2520922,3121794,3070320,3680488,3494682,3255596,4217208,2358500,3978221,4011411,2634606,1866719,3206096,3603954,2700037,3008358,3234744,3484384,3289613,3238951,3374012
Fumaric Acid,TCA,pHILICneg,pHILICneg_Fumaric Acid,C4H4O4,116.010959,7.7,,5169,1851,5944,49482,30169,21874,23640,50967,38304,56346,48094,23556,64086,19347,44892,83504,15644,23904,23257,33085,12257,40609,43675,94210,64825,69859,11712,84385,38617,22681,26657,21779,47392,56252,32906,26012,54586,77254,37317,61448,21996,24232,59067,44245,52487,16804,89087,41359,137087,44430,36303,38276,25169,29023,33694,33512,3328,19466,28157,37071,37050,48252,41783,48438,45250
Hydroxyglutaric acid,TCA,pHILICneg,pHILICneg_Hydroxyglutaric acid,C5H8O5,148.037173,7.28,,11310,8630,5228,28591,45622,15978,22473,38088,88761,128086,8032,33016,140609,4514,60397,84264,11922,16112,32262,79896,9278,71936,46668,114551,122907,67322,19392,215716,30280,17664,38463,25577,11763,136051,19755,23398,46430,44075,24018,77030,15185,25135,53394,31307,58701,31193,80796,15569,104146,61324,33521,31724,19219,29573,52037,30677,9570,32641,48828,38756,42220,38000,40702,30463,42498
Malic acid,TCA,pHILICneg,pHILICneg_Malic acid,C4H6O5,134.021523,7.73,,47093,35472,34778,649935,424853,267354,336416,672609,477279,815716,584581,388102,823215,283801,637159,1184340,237080,279389,291153,466298,191603,675307,666711,1507454,865593,1084936,184576,1337161,507509,307039,308292,316846,685848,789441,342419,333077,744216,1048656,542541,1040540,225787,408736,760621,689376,836554,258524,1344158,558880,2047876,627714,508844,480475,307363,346882,485870,444497,66804,270171,412240,587927,564335,637082,586724,575496,622765
Pyruvate,TCA,pHILICneg,pHILICneg_Pyruvate,C3H4O3,88.016044,1.95,,23144,19772,17409,252457,157736,164844,224004,231382,499493,167420,819691,152849,229034,133015,311147,261883,180701,170125,165730,208432,153320,129980,155419,246205,400062,332910,376818,220113,167111,133354,202792,286008,261758,121378,332898,420066,287510,217296,221692,318300,133536,153330,183270,197383,159979,128894,180887,187328,285181,646071,147115,354047,376109,272680,85403,207149,328239,287949,226135,333431,282956,259792,225761,232683,231022
Succinic acid,TCA,pHILICneg,pHILICneg_Succinic acid,C4H6O4,118.026609,7.2,,2342,2413,3287,60192,23433,19944,30513,146890,37096,36986,100980,15539,24132,26125,26547,1036940,9694,10048,13745,32385,8370,24984,158353,277283,115180,333249,14786,55757,24153,11861,16377,66599,55201,100361,21264,15596,166914,242557,24536,62571,15426,63653,84615,137602,88464,23846,524216,83397,479277,61785,42158,25595,14704,36982,39593,42151,11564,30439,22356,88708,96868,97478,95995,99880,95468
Succinic Acid,TCA,pHILICneg,pHILICneg_Succinic Acid,C4H6O4,118.026609,6.35,,3703,1910,4102,10585,7500,6936,5365,6457,8257,9126,13957,5565,4803,7517,8184,35312,4312,7318,7485,3724,6866,5119,15184,23066,12142,15144,4962,9996,7357,6388,6009,10057,7374,11527,6437,7731,20461,16714,6551,14755,4152,14295,11471,10594,11196,6464,35263,13549,27896,8823,3798,10397,11922,9467,10899,11812,9499,6516,6953,17848,15171,14530,9168,11724,16265
"D-Fructose 1,6-bisphosphate",Glycolysis,pHILICneg,"pHILICneg_D-Fructose 1,6-bisphosphate",C6 H14 O12 P2,339.99605,9.5,,1991,530,538,1585,2599,1564,2035,683,2398,751,993,25,589,449,1851,733,600,1320,1601,1207,1221,1316,889,629,681,2093,957,1067,714,1654,986,2611,1482,979,1123,732,1315,1122,1996,1462,803,453,655,670,1514,1543,654,529,798,1050,1697,1137,1019,253,2215,542,1232,506,1627,456,1163,1386,2091,686,1285
DHAP,Glycolysis,pHILICneg,pHILICneg_DHAP,C3H7O6P,169.998025,8.19,,1361,344,951,2902,4973,3824,6482,715,4668,1470,5719,2658,1552,2897,2225,2690,3423,2608,2163,2841,1514,1096,3786,6261,2500,2490,4289,2002,6530,2424,5659,3215,3504,1882,1220,1700,4601,3806,5638,1066,1291,5372,364,2700,2697,4104,3463,4079,1459,801,3378,1875,3764,5262,3373,2492,2088,3698,1945,3409,3812,2527,2489,6024,2054
